bid,ask,spread,time
4.5791,17.8833,-13.304199999999998,1659983251.925085
28.7723,3.9333,24.839000000000002,1659983253.5173097
17.7319,0.812,16.9199,1659983255.081253
13.351,2.4664,10.8846,1659983256.6594956
14.7632,3.0236,11.7396,1659983258.2183123
16.4419,0.0196,16.4223,1659983259.7901056
12.7539,5.0137,7.7402,1659983261.917345
1.9121,22.3641,-20.452,1659983264.1858027
11.5309,5.7082,5.822700000000001,1659983265.7769787
10.9216,5.272,5.6495999999999995,1659983267.3072798
0.1797,9.4099,-9.2302,1659983268.897926
8.3444,29.3046,-20.9602,1659983270.489951
6.5945,32.92,-26.3255,1659983272.5826404
2.1944,43.3076,-41.1132,1659983274.2179341
1.8679,26.8548,-24.986900000000002,1659983275.8248918
22.6162,7.3655,15.250699999999998,1659983277.3772173
15.4888,8.0316,7.4572,1659983278.9515917
17.1686,7.1458,10.0228,1659983280.5055714
16.3373,1.6613,14.675999999999998,1659983282.1932647
14.4133,12.9688,1.4444999999999997,1659983283.7884386
14.3309,7.3595,6.9714,1659983285.4172502
23.9036,3.2114,20.6922,1659983287.1152332
39.7719,3.0161,36.7558,1659983288.6946628
35.8784,0.4387,35.4397,1659983290.2462726
36.4086,2.1541,34.2545,1659983292.702144
13.3968,6.1189,7.277900000000001,1659983294.636018
37.3926,1.5809,35.8117,1659983296.220166
16.5901,5.0073,11.582799999999999,1659983298.0132341
7.5675,9.2716,-1.7040999999999995,1659983299.5752883
10.6139,5.5829,5.030999999999999,1659983301.1710691
19.6109,0.1364,19.474500000000003,1659983302.7149596
0.2,1.988,-1.788,1659983304.3121972
10.6997,2.6452,8.0545,1659983306.1137836
17.153,20.8193,-3.6662999999999997,1659983307.7025845
17.0442,22.1396,-5.0954000000000015,1659983309.2702234
14.4252,26.2925,-11.8673,1659983311.2411323
16.653,31.386,-14.733,1659983312.811166
24.4818,1.7658,22.716,1659983314.4248314
23.0447,3.6149,19.4298,1659983316.0188391
19.5889,9.581,10.0079,1659983317.5650861
9.4279,12.3045,-2.8766000000000016,1659983319.1416962
3.0014,19.8961,-16.8947,1659983320.696442
4.3874,18.3664,-13.979,1659983322.299023
12.3746,2.0538,10.320799999999998,1659983323.8518167
3.8104,8.271,-4.460600000000001,1659983325.4126196
4.707,10.3556,-5.648600000000001,1659983326.9647198
2.6038,11.0763,-8.4725,1659983328.5180492
16.1532,0.2,15.953199999999999,1659983330.1838334
15.2755,0.3518,14.923699999999998,1659983331.780204
10.7394,15.3291,-4.589700000000001,1659983333.35863
9.159,14.8599,-5.700899999999999,1659983334.9127488
1.2012,36.6826,-35.4814,1659983336.533528
2.9171,43.9771,-41.06,1659983338.0682154
4.231,26.83,-22.598999999999997,1659983340.2525277
0.1806,37.0008,-36.8202,1659983341.8812902
4.5298,35.7175,-31.1877,1659983343.4583778
11.1313,18.2019,-7.070599999999999,1659983345.0268466
22.5337,0.1314,22.4023,1659983346.5847402
15.8652,18.1294,-2.2642000000000007,1659983348.1710107
16.8589,17.8603,-1.0014000000000003,1659983349.738142
24.5149,8.7239,15.791,1659983351.303171
13.9713,13.6675,0.30379999999999896,1659983352.8546002
16.5991,5.4248,11.174299999999999,1659983354.4309623
15.309,2.6071,12.701899999999998,1659983356.2397387
24.9929,4.8482,20.1447,1659983357.810707
15.0087,7.0004,8.008299999999998,1659983359.3522437
0.3632,7.912,-7.5488,1659983360.984713
0.8487,15.0293,-14.180599999999998,1659983362.5290003
16.6838,6.9163,9.767500000000002,1659983364.1055248
19.2681,3.0892,16.1789,1659983365.6619363
24.43,1.3031,23.1269,1659983367.4705436
27.0708,1.1702,25.900599999999997,1659983369.2953722
25.854,0.8343,25.0197,1659983371.0384436
25.1658,3.6455,21.5203,1659983372.5940733
14.7781,4.2107,10.5674,1659983374.2700298
22.8671,1.0515,21.8156,1659983375.8270853
15.5447,2.5501,12.9946,1659983377.3766904
15.176,4.1206,11.0554,1659983378.9331443
17.3554,1.6743,15.681099999999999,1659983380.4882379
20.9979,7.568,13.429900000000002,1659983382.0765324
0.2914,22.4088,-22.1174,1659983383.6569521
2.209,16.7276,-14.5186,1659983385.6521409
0.6261,0.743,-0.1169,1659983387.7617435
2.6059,35.0978,-32.4919,1659983389.3557894
14.8222,6.1089,8.7133,1659983391.456259
0.8099,1.7644,-0.9545,1659983393.0227108
2.9574,8.6659,-5.708500000000001,1659983394.5721426
10.2509,19.99,-9.739099999999999,1659983396.15445
14.6454,24.6131,-9.967699999999999,1659983397.7306268
21.5802,13.5854,7.9948000000000015,1659983399.3109653
22.0558,13.2991,8.756700000000002,1659983401.4270506
3.6761,23.6941,-20.018,1659983403.0909715
1.5951,21.9446,-20.349500000000003,1659983404.6712003
3.3738,24.9385,-21.564700000000002,1659983406.2509909
7.0273,19.1205,-12.0932,1659983408.4613008
4.4279,14.2104,-9.782499999999999,1659983410.5723927
4.3656,19.516,-15.150399999999998,1659983412.1741695
8.3826,18.5707,-10.188099999999999,1659983413.7749615
25.5892,0.9998,24.5894,1659983415.5368695
25.6686,2.4127,23.2559,1659983417.0881624
26.0053,2.2645,23.7408,1659983418.7017536
39.1334,0.9416,38.1918,1659983420.8260572
37.298,10.5201,26.777900000000002,1659983422.9092135
34.8376,12.2186,22.619,1659983424.563082
34.2752,10.5424,23.732799999999997,1659983426.1212213
24.1674,13.1102,11.0572,1659983427.9451432
17.3211,13.7781,3.543000000000001,1659983430.086945
21.1926,13.2943,7.898299999999999,1659983432.4007945
43.0466,5.5977,37.448899999999995,1659983434.487569
1.9236,0.0541,1.8695,1659983436.0990577
0.2033,27.2562,-27.0529,1659983437.6732469
6.5933,10.3997,-3.806399999999999,1659983439.246752
0.1826,24.0706,-23.887999999999998,1659983440.8376667
1.0421,21.5798,-20.537699999999997,1659983443.1605864
8.9128,20.5101,-11.5973,1659983444.7348664
23.4062,3.2996,20.1066,1659983447.0571318
25.6524,4.5116,21.1408,1659983449.1907318
15.2833,6.2734,9.009900000000002,1659983451.2802234
17.6685,5.1515,12.517000000000001,1659983452.8931088
19.2657,4.8153,14.450399999999998,1659983454.4697325
28.0088,3.5268,24.482,1659983456.0584753
30.8427,3.2436,27.5991,1659983458.2360206
42.3999,3.1034,39.2965,1659983459.8060231
38.7129,1.7377,36.9752,1659983461.3683019
41.7064,2.1052,39.601200000000006,1659983462.9200714
26.34,3.9816,22.3584,1659983464.4979303
27.2757,0.5506,26.7251,1659983466.07811
42.617,1.047,41.57,1659983467.6406064
4.4486,15.7111,-11.2625,1659983469.2089016
0.5633,23.5449,-22.981599999999997,1659983470.7952542
1.7968,21.5879,-19.7911,1659983472.3819358
1.8042,23.0586,-21.254399999999997,1659983473.9653137
2.6216,21.0152,-18.3936,1659983475.6169043
0.0417,38.4245,-38.3828,1659983477.1839669
1.2175,33.4939,-32.276399999999995,1659983478.759613
11.6037,11.6732,-0.06949999999999967,1659983480.377432
19.8122,2.9487,16.863500000000002,1659983481.9785042
37.7239,0.2822,37.4417,1659983483.6279047
45.5458,1.3289,44.2169,1659983485.187594
25.1418,11.0223,14.1195,1659983486.738485
25.6381,1.1828,24.4553,1659983488.3233166
8.7005,12.4873,-3.7867999999999995,1659983490.4032197
14.1133,0.7044,13.408900000000001,1659983491.9411256
48.256,0.2822,47.9738,1659983493.9642642
16.1141,5.2344,10.8797,1659983495.5183725
1.8935,16.2178,-14.324300000000001,1659983497.1072147
8.653,6.7556,1.8974000000000002,1659983498.6764982
17.0867,1.1517,15.935,1659983500.2523625
